date,title,stars,review,no_scent,noscent_counter
2020-12-05,Senteur faible,3.0 out of 5 stars,"Dommage elle sent peu .... l’odeur est minime
Pour le prix je m’attendais à plus",True,1
2020-12-05,the smell is as strong at the bottom of the candle as it is at the top,5.0 out of 5 stars,have bought these candles for years. love the smell at this time of year.,False,0
2020-12-03,Not worth the money,3.0 out of 5 stars,"Smells like shampoo, and you can’t even feel the smell unless you come really close. Ok candle but definitely not worth the money.",True,1
2020-12-01,Best smell for Christmas,5.0 out of 5 stars,I love this candle. it smells so nice and just like the Christmas you smell every year.,False,0
2020-12-01,Smells so nice,5.0 out of 5 stars,"Love it, smells just like a Christmas tree.",False,0
2020-11-30,Candle,5.0 out of 5 stars,Looks good and smells great,False,0
2020-11-30,Meh,1.0 out of 5 stars,Sens le désodorisant à WC,True,1
2020-11-30,Wonderful for this time of year,5.0 out of 5 stars,Came very well packaged... smells just like cookies... very happy with this purchase,False,0
2020-11-19,Long lasting burns for hours,5.0 out of 5 stars,Great candle- smells like christmas,False,0
2020-11-13,Most fragrant!,5.0 out of 5 stars,These are the most fragrant especially around Christmas! Love them!,False,0
2020-11-02,Worth the money,5.0 out of 5 stars,Smells great ! The burn time is also great . Good value for money !,False,0
2020-10-28,Christmas season candle,5.0 out of 5 stars,"The smell of this Christmas season candle is out of this world awesome! We haven’t used it yet, but early. It did arrive with a chip of the glass missing at the top. Hoping we can still use it.",False,0
2020-10-27,Great scent,5.0 out of 5 stars,Smells a lot like the pine green smell we look for around Christmas. I use a fake tree every year and burning this candle makes it seem like I have a real Christmas tree in the house!,False,0
2020-10-20,Nice candle,4.0 out of 5 stars,"Like longevity
Dislike too non perfume scent",False,0
2020-10-09,Great burn time,5.0 out of 5 stars,This candle burns for about 55 hours. The scent is wonderful - not overpowering.,False,0
2020-10-05,Love it,5.0 out of 5 stars,Smell fills the whole apartment.,False,0
2020-09-21,Excellent produit,5.0 out of 5 stars,J'adore cette senteur,False,0
2020-09-16,I thought that it would be better than Ucalyptu... but,4.0 out of 5 stars,"Althought Delivery was good, No crush et not hurt, I dont like this smell... I think Ucalyptus would be better...",False,0
2020-09-16,Careful purchasing Candles on line.,1.0 out of 5 stars,"When I received this candle it looked like it had been melted {not lit) as it was loose inside the jar- when I lit it to burn it, it has No scent. Very disappointing for Yankee.",True,1
2020-09-12,Great choice!,5.0 out of 5 stars,I love this smell. I use it in my spa and 1 is enough to fill the entire place.,False,0
2020-08-21,Numéro 1,5.0 out of 5 stars,Numéro 1,False,0
2020-07-13,Great Gender Neutral Scent!,5.0 out of 5 stars,I bought this candle for my boyfriend and his cousin's apartment. It is a great safe scent to use that anyone would enjoy.,False,0
2020-06-17,No throw.,2.0 out of 5 stars,First Yankee Candle. Very disappointed. No throw.,True,1
2020-05-20,"not burning evenly, also lots of soot",3.0 out of 5 stars,"the candle keeps burning towards one side and the other side never burns, so the surface is not flat.
also lots of soot and flame tends to be super big unless you regularly cut the pick",False,0
